magicc_variable,emissions_unit,part_of_scenfile_with_emissions_code_0,part_of_scenfile_with_emissions_code_1,part_of_prnfile
CO2,Gt C / yr,False,False,False
CO2I,Gt C / yr,True,True,False
CO2B,Gt C / yr,True,True,False
CH4,Mt CH4 / yr,True,True,False
CH4I,Mt CH4 / yr,False,False,False
CH4B,Mt CH4 / yr,False,False,False
N2O,Mt N2ON / yr,True,True,False
N2OI,Mt N2ON / yr,False,False,False
N2OB,Mt N2ON / yr,False,False,False
SOX,Mt S / yr,True,True,False
SOXI,Mt S / yr,False,False,False
SOXB,Mt S / yr,False,False,False
CO,Mt CO / yr,True,True,False
COI,Mt CO / yr,False,False,False
COB,Mt CO / yr,False,False,False
NMVOC,Mt NMVOC / yr,True,True,False
NMVOCI,Mt NMVOC / yr,False,False,False
NMVOCB,Mt NMVOC / yr,False,False,False
NOX,Mt N / yr,True,True,False
NOXI,Mt N / yr,False,False,False
NOXB,Mt N / yr,False,False,False
BC,Mt BC / yr,False,True,False
BCI,Mt BC / yr,False,False,False
BCB,Mt BC / yr,False,False,False
OC,Mt OC / yr,False,True,False
OCI,Mt OC / yr,False,False,False
OCB,Mt OC / yr,False,False,False
NH3,Mt N / yr,False,True,False
NH3I,Mt N / yr,False,False,False
NH3B,Mt N / yr,False,False,False
CF4,kt CF4 / yr,True,True,False
CF4I,kt CF4 / yr,False,False,False
CF4B,kt CF4 / yr,False,False,False
C2F6,kt C2F6 / yr,True,True,False
C2F6I,kt C2F6 / yr,False,False,False
C2F6B,kt C2F6 / yr,False,False,False
C3F8,kt C3F8 / yr,False,False,False
C3F8I,kt C3F8 / yr,False,False,False
C3F8B,kt C3F8 / yr,False,False,False
C4F10,kt C4F10 / yr,True,False,False
C4F10I,kt C4F10 / yr,False,False,False
C4F10B,kt C4F10 / yr,False,False,False
C5F12,kt C5F12 / yr,False,False,False
C5F12I,kt C5F12 / yr,False,False,False
C5F12B,kt C5F12 / yr,False,False,False
C6F14,kt C6F14 / yr,False,True,False
C6F14I,kt C6F14 / yr,False,False,False
C6F14B,kt C6F14 / yr,False,False,False
C7F16,kt C7F16 / yr,False,False,False
C7F16I,kt C7F16 / yr,False,False,False
C7F16B,kt C7F16 / yr,False,False,False
C8F18,kt C8F18 / yr,False,False,False
C8F18I,kt C8F18 / yr,False,False,False
C8F18B,kt C8F18 / yr,False,False,False
CC4F8,kt CC4F8 / yr,False,False,False
CC4F8I,kt CC4F8 / yr,False,False,False
CC4F8B,kt CC4F8 / yr,False,False,False
HFC23,kt HFC23 / yr,True,True,False
HFC32,kt HFC32 / yr,True,True,False
HFC4310,kt HFC4310 / yr,True,True,False
HFC125,kt HFC125 / yr,True,True,False
HFC134A,kt HFC134A / yr,True,True,False
HFC143A,kt HFC143A / yr,True,True,False
HFC152A,kt HFC152A / yr,False,False,False
HFC227EA,kt HFC227EA / yr,True,True,False
HFC236FA,kt HFC236FA / yr,False,False,False
HFC245FA,kt HFC245FA / yr,True,True,False
HFC365MFC,kt HFC365MFC / yr,False,False,False
NF3,kt NF3 / yr,False,False,False
SF6,kt SF6 / yr,True,True,False
SO2F2,kt SO2F2 / yr,False,False,False
CFC11,kt CFC11 / yr,False,False,True
CFC12,kt CFC12 / yr,False,False,True
CFC113,kt CFC113 / yr,False,False,True
CFC114,kt CFC114 / yr,False,False,True
CFC115,kt CFC115 / yr,False,False,True
CCL4,kt CCl4 / yr,False,False,True
CH3CCL3,kt CH3CCl3 / yr,False,False,True
HCFC22,kt HCFC22 / yr,False,False,True
HCFC141B,kt HCFC141b / yr,False,False,True
HCFC142B,kt HCFC142b / yr,False,False,True
HALON1211,kt Halon1211 / yr,False,False,True
HALON1202,kt Halon1202 / yr,False,False,True
HALON1301,kt Halon1301 / yr,False,False,True
HALON2402,kt Halon2402 / yr,False,False,True
CH3BR,kt CH3Br / yr,False,False,True
CH3CL,kt CH3Cl / yr,False,False,True
CH2CL2,kt CH2Cl2 / yr,False,False,False
CHCL3,kt CHCl3 / yr,False,False,False
